submitted_on,water_point_name,latitude,longitude,total_users_of_water_point,water_point_photos,likely_submerged_during_flood,evidence_submerged,evidence_not_submerged,functional_status,pumpable_at_visit,reported_problems,reported_problems_other,water_quality_problems,civil_works_problems,civil_works_photo,pump_problems,pump_problems_other,pump_problems_photo,pump_operational_feel,time_to_pump_20l,strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,total_dissolved_solids_ppt,ph,fluoride_ppm,ammonia_mg_per_l,nitrate_mg_per_l,free_chlorine_mg_per_l,arsenic_magnitude,arsenic_units,turbidity_magnitude,turbidity_units,temperature_magnitude,temperature_units,temperature_time,comments,sample_type,sample_date,mpn_100ml,upper_95_ci_100ml,health_risk_category,color_change_image
29/11/2019,Kumwanje borehole 06,-15.9544383,35.3335267,300,https://api.mwater.co/v3/images/495ed58cde734e1f803f50450bc18362; https://api.mwater.co/v3/images/75c23f46c4c74878a498cfcd0b4aea39,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) at all times",60,2,Absent,2438,?S / cm,1.7,7,2,1.2,1.2,0,5,ppb,5,NTU,26.8,C,6/13/2019 15:33,NA,NA,6/13/2019,0,2.87,safe,https://api.mwater.co/v3/images/0c1dd2ffcc764d0b8af72ad33a310346
07/02/2020,Kumwanje borehole 06,-15.9544383,35.3335267,1000,https://api.mwater.co/v3/images/5a74a5b307254cd293d20b530c8a646e; https://api.mwater.co/v3/images/2cf42efb6bb04e0589abf369a9cee450,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Leakage from pump/ pedestal",NA,NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/0d2a03127b4b42b6b8c9fe340c8d4bcd,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant friction (very stiff) on up stroke, Significant sideways movement on handle (loose/wobbly)",66.87,2,Absent,588,?S / cm,0.29,7.4,1.4,0.4,0.1,0,5,ppb,5,NTU,33.4,C,6/14/2019 10:47,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/f75af7d6e4b449d880ba7dc05fa158f8
29/11/2019,Mwase 02 borehole  01,-15.9508201,35.3427396,350,https://api.mwater.co/v3/images/47c52c40e4ed4783b610f22d10c88cc7; https://api.mwater.co/v3/images/759e4fe1657f4caf8adb4673331d0e3a,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Other,Head case is worn out on the sides,NA,NA,NA,NA,NA,NA,"Very light, Significant friction (very stiff) on down stroke",79.995,2,Absent,572,?S / cm,0.29,7.32,0.2,0.42,0.2,0,5,ppb,5,NTU,28.1,C,6/14/2019 12:42,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/6bbd74e759cf4fe597de4d866f25800a
07/02/2020,Mwase 02 borehole  01,-15.9508201,35.3427396,980,https://api.mwater.co/v3/images/93688c6cacca4526b5dcbfda2fcf848a; https://api.mwater.co/v3/images/90f23a0b4bc9418db41bce9904a05858; https://api.mwater.co/v3/images/8e741b2abebb47b9b50d7f7f96fc6260,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",53.92,3,Absent,198.4,?S / cm,0.05,7.2,2,0.35,0.45,0,5,ppb,5,NTU,24.6,C,6/14/2019 14:12,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/4cdf7ab4a1994b94831c744e4902b442
26/06/2019,Mwasa 02 borehole  02,-15.9504917,35.34194,360,https://api.mwater.co/v3/images/d31a604d9efd43d595826550fe7777ef,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Partially functional but in need of repair,Yes,Other,Low water yield,NA,NA,NA,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",74.04,3,Absent,448,?S / cm,0.21,7.4,0.2,0.42,0.1,0,5,ppb,10,NTU,21.9,C,6/15/2019 9:08,NA,Point of collection,6/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/55e0289a8c83411d9cf8d5c707af7c20
29/11/2019,Mwasa 02 borehole  02,-15.9504917,35.34194,1500,https://api.mwater.co/v3/images/c19fa6df47034ecfa7e02e59005200ab,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/5f51576ae85b4a76a13f0867b7395617,NA,NA,NA,Very light,58.2,4,Absent,304,?S / cm,0.14,7.2,0.17,0.55,0.45,0,0,ppb,5,NTU,23.3,C,6/15/2019 8:17,NA,NA,6/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/ac4d8204547e43c2a02a98734ca65490
07/02/2020,Mwasa 02 borehole  02,-15.9504917,35.34194,300,https://api.mwater.co/v3/images/6429880c6523426cb03254fac2a6306f,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Very light,69.479,1,Absent,384,?S / cm,0.19,7.16,0.7,0.15,1,0,5,ppb,5,NTU,32.7,C,6/14/2019 9:08,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/98878302954049f18a4992e597006077
01/07/2019,Namoyo borehole 02,-15.94579377,35.33735275,963,https://api.mwater.co/v3/images/8a82167913c547f599b8fdfc964c8676,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/c69f4092b3cb47f5a725c9ffe914c85d,Pump loose at the point of attachment,NA,https://api.mwater.co/v3/images/51d6e59d180f4c9a96acaa6bbfbb0679,Very light,80.831,2,Present,333,?S / cm,0.09,7.76,0.2,4.2,0.1,0,5,ppb,5,NTU,23.1,C,6/15/2019 11:45,The borehole is the only borehole they use as such there is too much pressure on the borehole,Point of collection,6/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/71a7bbc6915e4ca1b87b63768a5f90cf
27/11/2019,Nakoma borehole 02,-15.9386784,35.3397368,1280,https://api.mwater.co/v3/images/5ef47507454b42e1be9228ad334429f3; https://api.mwater.co/v3/images/aaa53d9363fd4274ac6e62df0ae77379; https://api.mwater.co/v3/images/8a66fd1cf31b413f85145ee57b9aab00; https://api.mwater.co/v3/images/b9cab48b7ed44ebb9c3963548a4719ad,No,NA,Local report not seeing the water point submerged,Not functional,NA,"Damage or problem with pump, Other","The borehole stopped working 5 years ago, and it was vandalised.",NA,NA,NA,Other,"Only the pedestal, handle  and head were available at the borehole",https://api.mwater.co/v3/images/6624bffc7c9d40eeb4b11cff3340ed93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Point of collection,6/15/2019,13.6,83.06,possibly_unsafe,https://api.mwater.co/v3/images/d82f34b80a8f42e8aad565d720c9210f
07/02/2020,Nakoma borehole 02,-15.9386784,35.3397368,550,https://api.mwater.co/v3/images/74c35b30c76d4d31b2fd02f004bd93ab; https://api.mwater.co/v3/images/d835a4464bfa4c8a89823d6bdbc5ef0b,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,Water quality,NA,Bad colour,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly), Significant friction (very stiff) at all times",62.381,2,Present,138,?S / cm,0.08,7.5,0.2,0.056,0.7,0,5,ppb,15,NTU,32.8,C,6/15/2019 10:01,NA,Point of collection,6/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/cb751f74560443d8b20b291570028aff
21/06/2019,Nakoma(mvuluse) borehole  04,-15.9313947,35.3288809,500,https://api.mwater.co/v3/images/5792005a524241929d32db27ac5c5000; https://api.mwater.co/v3/images/dc985809e6384999b4c7e2fd57d984e3,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,"Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/19d3b4c820554f7180cedf0f5476f470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/12/2019,Nakoma(mvuluse) borehole  04,-15.9313947,35.3288809,750,https://api.mwater.co/v3/images/08ade4d1ea334a7c96534b00e5befe32,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/02/2020,Nakoma(mvuluse) borehole  04,-15.9313947,35.3288809,385,https://api.mwater.co/v3/images/9d8e247a88ad43f7ab50b13fbc91ade1; https://api.mwater.co/v3/images/7faded088c10495b9fdb7639294c197b,No,NA,Local report not seeing the water point submerged,Functional,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,Platform cracked or damaged,https://api.mwater.co/v3/images/b703783d4dae42209cc384bb14273e0f,NA,NA,NA,Normal/satisfactory,84.656,2,Absent,142.2,?S / cm,27,6.17,0.9,0.05,1.227,0,5,ppb,5,NTU,27.6,C,6/14/2019 10:12,The bolehole is functioning just needed minor changes,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/8e774c1d1ca74b13b103c162521dc4c4
23/06/2019,Nakoma(kazembe) borehole  03,-15.9358243,35.3347058,652,https://api.mwater.co/v3/images/fcafb33e49d54661b305a2f2f077fc6b; https://api.mwater.co/v3/images/c2371ac1c44f40628f5ffbb7e76b682a; https://api.mwater.co/v3/images/6032202eaf7f4ac58926cde396be4183,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,"Significant friction (very stiff) on down stroke, Significant sideways movement on handle (loose/wobbly)",60.711,2,Absent,169.1,?S / cm,NA,6.71,1.3,0.05,0.3,0,5,ppb,5,NTU,25.6,C,6/14/2019 13:07,NA,Point of collection,6/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/95f49e84820c4a729df006ca2b410be1
29/11/2019,Nakoma(kazembe) borehole  03,-15.9358243,35.3347058,500,https://api.mwater.co/v3/images/0e26ea6306a44ca4bfb7cb473ea41d63; https://api.mwater.co/v3/images/ecdd8e4a26194fdda5383255f3dd4eb0,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/6dc6ac22ed5a43f7a04decf7fb58e999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/02/2020,Nakoma(kazembe) borehole  03,-15.9358243,35.3347058,775,https://api.mwater.co/v3/images/fd6f4a808fcb4e1d876eb53d8bf784f9; https://api.mwater.co/v3/images/b147df6a48c9408ab4a52909fa487ab9; https://api.mwater.co/v3/images/445d2b282b334d939f95c70d54ab0ebe; https://api.mwater.co/v3/images/d11ed486b4144ca89d210943450ecc27,No,NA,Local report not seeing the water point submerged,Functional,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,"Significant sideways movement on handle (loose/wobbly), Very light",67.771,2,Absent,176.4,?S / cm,0.8,6.24,0.2,0.15,0.5,0,5,ppb,5,NTU,24.5,C,6/17/2019 10:23,"Community says the water tastes good, not salty.",Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/8dd1e0d174b24b1589bcbabdf3601418
26/06/2019,Mwasa 01 borehole 02,-15.9326567,35.3407991,290,https://api.mwater.co/v3/images/57b93223464140ee986812eb41280604; https://api.mwater.co/v3/images/b8a3879b5f4d41fbb98602881f31193c,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,"Soil erosion or collapse around the water point, Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,NA,NA,https://api.mwater.co/v3/images/734d160894804fa081edbf4480ca48b8,NA,NA,https://api.mwater.co/v3/images/ea4126d9caef4509a1ad6a7d8fb3a40e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/add5589248e745f4919b04cb6d3a8f85
27/11/2019,Mwasa 01 borehole 02,-15.9326567,35.3407991,95,https://api.mwater.co/v3/images/efb548b87f934b2fba739aca5abf6f29; https://api.mwater.co/v3/images/f126438dc15e46eea23333ef6d6e6dcd; https://api.mwater.co/v3/images/ede78aee5d164588bedde3b9f6cfd6ea,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),46.161,1,Absent,2228.5,?S / cm,0.11,6.49,0.2,0.05,0.8,0,5,ppb,5,NTU,25.7,C,6/17/2019 8:16,NA,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/5c4810ecf96440c8ba36c593b16a8cf7
07/02/2020,Mwasa 01 borehole 02,-15.9326567,35.3407991,235,https://api.mwater.co/v3/images/bd6aedb330224f18b7aacc7783af8235; https://api.mwater.co/v3/images/c75886a5389147dbaa59cd95b181fabe; https://api.mwater.co/v3/images/265131f64b5a4586a27f0c12525fd286,No,NA,Local report not seeing the water point submerged,Functional,Yes,NA,NA,NA,NA,NA,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",45.23,1,Absent,215.7,?S / cm,0.1,6.21,0.2,2.4,0.5,0,0.5,ppb,5,NTU,25,C,6/17/2019 18:09,Community says the water tastes good. It is not salty.,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/edf78c142a724025b4334c3266136222
04/07/2019,Mtambo borehole 01,-15.9719698,35.3284381,0,https://api.mwater.co/v3/images/c0f5212c088648298ed5a9d2eba4b4cc; https://api.mwater.co/v3/images/827dcd83d4ac41fcbb187b4c9bafbaff; https://api.mwater.co/v3/images/618baef24a444f649dfb9ada46c984e8,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",No longer exists or abandoned,NA,Damage or problem with pump,NA,NA,NA,NA,Missing pump head,NA,https://api.mwater.co/v3/images/a9d1ed6d78064329b46970156b9ef81a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/11/2019,Mtambo borehole 01,-15.9719698,35.3284381,275,https://api.mwater.co/v3/images/504f9f8187c04e0994cdd1a577e11cc8; https://api.mwater.co/v3/images/62f79454d2c248689dd54ec9795d9296,No,NA,Local report not seeing the water point submerged,Not functional,NA,"Damage or problem with pump, Leakage from pump/ pedestal, Other",Committee reporting that there is a problem  with the cylinder and the pedestal was welded because it had crack.,NA,NA,NA,Damage to pump head or handle,NA,https://api.mwater.co/v3/images/f2f65bacf02b45cbae9909775f727e48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/18/2019,NA,NA,NA,NA
08/02/2020,Mtambo borehole 01,-15.9719698,35.3284381,400,https://api.mwater.co/v3/images/b2058f4ceb774aa3ad93674081683fb8; https://api.mwater.co/v3/images/02886d61cb1a448faa87298c1b2c6158,No,NA,"Local report not seeing the water point submerged, Lack of any fresh debris, mud, or water lines",Not functional,NA,"Damage to civil works - platform, well head, riser etc, Damage or problem with pump, Leakage from pump/ pedestal",NA,NA,"Platform cracked or damaged , Pedestal cracked or damaged, Faulty drainage , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/f70d330470e9475c9d0a94c9e6a32e98,"Pump loose at the point of attachment, Damage to pump head or handle",NA,https://api.mwater.co/v3/images/844093682f4a4950b00a9e0afd13d1f5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/07/2019,Phulanya borehole,-15.6425817,35.5202264,873,https://api.mwater.co/v3/images/209407d1b6674f3b8742d3f3c8507d6e; https://api.mwater.co/v3/images/9d5f05bc67744ef0a4e5ee889328218b; https://api.mwater.co/v3/images/41a5125599d44d5eaa1d35eebbeb7210; https://api.mwater.co/v3/images/0067657b87fc445d8d5ac495fa849dca,Yes,Local report seeing the water point submerged,NA,Not functional,NA,"Damage or problem with pump, Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged, Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/aa02f64e088647dcbf5741ee73ddf63c,Other,Internal problem,https://api.mwater.co/v3/images/8f6eba0bdaf848c7bddf25f82b05da5c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/11/2019,Phulanya borehole,-15.6425817,35.5202264,200,https://api.mwater.co/v3/images/77ccd889db9444b891d645daf25a8ac8,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Partially functional but in need of repair,Yes,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/74833ba05da243f5b0d239b4d640bb40,NA,NA,NA,"Very light, Significant sideways movement on handle (loose/wobbly)",57.732,1,Absent,488,?S / cm,0.23,7.2,0.18,0.23,0.02,0,5,ppb,5,NTU,25.6,C,6/17/2019 13:06,NA,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/35b7adce59db4ed999344ff24a4f24d5
30/01/2020,Phulanya borehole,-15.6425817,35.5202264,1500,https://api.mwater.co/v3/images/50c2913d960140e3a3215c0dee47d0b5; https://api.mwater.co/v3/images/7a171386fba341ffbe20fc94551ba284; https://api.mwater.co/v3/images/2c27fab9943d4c73870a436cca3cb639; https://api.mwater.co/v3/images/aa8eca14d20b4134baa42f0de1698786; https://api.mwater.co/v3/images/dd5453c39964461eba2ae31cd7288fc6; https://api.mwater.co/v3/images/adc33dfc9f7a4ae992474c7787b5ddf9,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,"Water quality, Damage to civil works - platform, well head, riser etc, Damage or problem with pump, Soil erosion or collapse around the water point",NA,Bad taste,"Platform cracked or damaged , Fence/barrier is missing or damaged, Drainage channel cracked, broken, or in need of cleaning",https://api.mwater.co/v3/images/d0a4ef16ddff4caeb1d0770c0ce432c1,"Other, Damage to pump head or handle",Missing handle and head has hores,https://api.mwater.co/v3/images/87646b0f6b3e47cf83471a1e03284182,Significant friction (very stiff) on down stroke,82.57,3,Absent,3.44,mS / cm,1.86,7.23,1,0.4,2.8,0,5,ppb,5,NTU,28.6,C,6/17/2019 12:04,The borehole has no handle end and has two holes at the back of the head. In addition the water is saline and erroded platform.,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/37aca06df5d84c588ea68155903acdce
05/02/2020,Walosa borehole 2,-15.6373682,35.5238737,621,https://api.mwater.co/v3/images/364176dcbafe4d50b926a9a34c8323f2; https://api.mwater.co/v3/images/3ca64f4b5be54166a6368f4c8d7cbf4b,Yes,Local report seeing the water point submerged,NA,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point, Leakage from pump/ pedestal",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/4e6c8fdac76b41119fe77511fff178bb,NA,NA,NA,Significant friction (very stiff) on down stroke,64.06,1,Absent,3.78,mS / cm,2.07,7.27,2.8,0.45,0.4,0,5,ppb,5,NTU,27.7,C,6/17/2019 10:34,The water has no soak way as well as soak way pit. It has also high salt level,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/e5b5d310aa3e45a996a126a05c519b26
26/06/2019,Muhowa borehole 2,-15.9078302,35.442084,639,https://api.mwater.co/v3/images/af3fd28a264c446a9e7cf230ae67673b,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,58.112,1,Present,185.3,?S / cm,0.09,6.9,1.2,0.8,0.6,0,5,ppb,5,NTU,23,C,6/17/2019 8:22,"The borehole is a new constructed early this year,as such almost everything is new and its operating well.NO rehab needed as its in perfect condition",Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/1f0bb53e0a3b43e3be1721be82e57597
28/11/2019,Muhowa borehole 2,-15.9078302,35.442084,560,https://api.mwater.co/v3/images/090b9c177df54ff78fcc50072df20870; https://api.mwater.co/v3/images/da16e2811f524fdc80df4d2394d808a7,No,NA,Local report not seeing the water point submerged,Functional,Yes,"Damage to civil works - platform, well head, riser etc, Soil erosion or collapse around the water point",NA,NA,"Platform cracked or damaged , Drainage channel cracked, broken, or in need of cleaning, Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/4e61239f085047e28042d2c48fc15687,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),65.241,1,Absent,371,?S / cm,0.17,7.02,2,0.8,0,0,5,ppb,5,NTU,26.1,C,6/17/2019 10:46,"The surrounding is bad and the platfoam severely cracked,no drainage channel.its been long since the borehole was rehabilitated",Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/83aa264f0a79497baa5bf0aa6dbb2759
06/02/2020,Muhowa borehole 2,-15.9078302,35.442084,1066,https://api.mwater.co/v3/images/2d28e1ba7f1a4ede9c3ce0e52bf9f8c1; https://api.mwater.co/v3/images/98fe6f4dbee84a28b56069e3dda41cab,No,NA,Local report not seeing the water point submerged,Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,Other,The borehole not working,https://api.mwater.co/v3/images/6fa8d4c4f36340d8b5884a3ef66ac67f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/11/2019,Nogwe water point 1,-15.8357817,35.51239,120,https://api.mwater.co/v3/images/80a3d036cdb041d1b64b2157a1b3bb85,Yes,Local report seeing the water point submerged,NA,Not functional,NA,"Other, Damage or problem with pump",The community says stopped functioning in May 2019. The last time the borehole was functioning dirty water comes out.,NA,NA,NA,Other,The borehole feels very light. It appears the rods are disconnected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/18/2019,NA,NA,NA,NA
